Zürich-Kaserne
Messstation Nr.:  16
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  7 WIRI           -  °         28- 37   Windrichtung
  6 WIGE           -  m/s       18- 27   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 20 10 00 326.7568 1.6207
2013 01 20 11 00 303.5077 1.0755
2013 01 20 12 00 325.8562 1.3429
2013 01 20 13 00 295.2151 0.5993
2013 01 20 14 00 118.8338 0.6131
2013 01 20 15 00 1.4732 1.0898
2013 01 20 16 00 25.9951 1.5167
2013 01 20 17 00 29.4264 0.7986
2013 01 20 18 00 355.5827 1.9920
2013 01 20 19 00 348.4066 2.2081
2013 01 20 20 00 319.3490 2.6808
2013 01 20 21 00 313.6320 2.5488
2013 01 20 22 00 324.2364 1.0693
2013 01 20 23 00 223.2029 0.8412
2013 01 20 24 00 182.4083 1.5677
2013 01 21 01 00 220.9384 0.9597
2013 01 21 02 00 309.7635 1.7308
2013 01 21 03 00 312.8162 2.6846
2013 01 21 04 00 326.4326 2.4895
2013 01 21 05 00 301.8867 3.3542
2013 01 21 06 00 301.7664 3.0250
2013 01 21 07 00 308.6197 2.1364
2013 01 21 08 00 321.1064 1.6274
2013 01 21 09 00 328.8126 0.9358
2013 01 21 10 00 25.5532 0.5841
2013 01 21 11 00 122.0840 0.5133
2013 01 21 12 00 152.8995 1.3392
2013 01 21 13 00 138.2079 1.7152
2013 01 21 14 00 139.4265 1.8017
2013 01 21 15 00 140.5359 1.7250
2013 01 21 16 00 141.4476 2.5111
2013 01 21 17 00 153.7554 2.4253
2013 01 21 18 00 162.6541 2.7295
2013 01 21 19 00 167.3425 2.0663
2013 01 21 20 00 149.4254 1.9415
2013 01 21 21 00 163.6292 1.0799
2013 01 21 22 00 143.9944 1.1846
2013 01 21 23 00 166.7849 1.1491
2013 01 21 24 00 130.7572 1.3453
2013 01 22 01 00 131.6969 1.5092
2013 01 22 02 00 167.2675 1.2026
2013 01 22 03 00 181.8534 1.6973
2013 01 22 04 00 156.5816 1.7373
2013 01 22 05 00 203.3887 1.9395
2013 01 22 06 00 224.4033 1.8530
2013 01 22 07 00 257.6527 2.1368
2013 01 22 08 00 302.9133 2.5079
2013 01 22 09 00 272.1515 0.9868
2013 01 22 10 00 268.3658 1.3417
2013 01 22 11 00 258.6643 2.2020
2013 01 22 12 00 299.1042 1.3703
2013 01 22 13 00 342.7865 1.4551
2013 01 22 14 00 326.6291 1.1074
2013 01 22 15 00 321.3349 0.5781
2013 01 22 16 00 307.4795 1.2272
2013 01 22 17 00 345.7327 1.5262
2013 01 22 18 00 341.3220 1.1274
2013 01 22 19 00 341.1210 0.8485
2013 01 22 20 00 150.9780 1.1438
2013 01 22 21 00 130.5562 1.2664
2013 01 22 22 00 113.1286 0.9662
2013 01 22 23 00 125.4709 1.1398
2013 01 22 24 00 94.8365 0.5208
2013 01 23 01 00 305.9554 0.9190
2013 01 23 02 00 307.6339 1.0458
2013 01 23 03 00 193.6534 0.7532
2013 01 23 04 00 288.6866 1.1478
2013 01 23 05 00 321.1239 1.0986
2013 01 23 06 00 314.7101 1.1807
2013 01 23 07 00 319.2226 1.6107
2013 01 23 08 00 313.6543 1.1223
2013 01 23 09 00 318.0743 0.7172
2013 01 23 10 00 324.7540 1.0383
2013 01 23 11 00 349.7865 2.0408
2013 01 23 12 00 345.0417 2.1274
2013 01 23 13 00 340.7635 2.4150
2013 01 23 14 00 343.7123 2.5246
2013 01 23 15 00 343.2816 2.6874
2013 01 23 16 00 326.2392 1.9996
2013 01 23 17 00 317.6162 1.9570
2013 01 23 18 00 333.1192 2.0664
2013 01 23 19 00 356.2831 1.4772
2013 01 23 20 00 354.3877 1.8976
2013 01 23 21 00 356.4850 1.7912
2013 01 23 22 00 359.6234 1.9800
2013 01 23 23 00 3.9568 1.9839
2013 01 23 24 00 352.0038 1.2584
2013 01 24 01 00 310.5583 1.9277
2013 01 24 02 00 328.1555 1.2988
2013 01 24 03 00 334.6528 1.4194
2013 01 24 04 00 344.8234 1.2022
2013 01 24 05 00 5.9511 1.2644
2013 01 24 06 00 348.8906 1.2223
2013 01 24 07 00 320.0918 1.8259
2013 01 24 08 00 288.7736 1.3390
2013 01 24 09 00 347.6804 0.8559
2013 01 24 10 00 27.3117 1.2346
2013 01 24 11 00 28.3728 1.1594
2013 01 24 12 00 10.1479 1.3450
2013 01 24 13 00 10.6312 1.6545
2013 01 24 14 00 9.5797 1.8233
2013 01 24 15 00 13.0454 1.7719
2013 01 24 16 00 19.0427 2.0970
2013 01 24 17 00 15.5087 2.0181
2013 01 24 18 00 18.2095 2.2181
2013 01 24 19 00 26.9154 2.2305
2013 01 24 20 00 25.5153 2.2823
2013 01 24 21 00 38.7343 1.7694
2013 01 24 22 00 20.7698 1.6402
2013 01 24 23 00 351.1365 1.7393
2013 01 24 24 00 355.8922 1.6577
2013 01 25 01 00 353.3124 2.2394
2013 01 25 02 00 358.3114 2.0987
2013 01 25 03 00 2.2643 1.8982
2013 01 25 04 00 344.4738 1.8841
2013 01 25 05 00 349.8571 1.5992
2013 01 25 06 00 310.0926 1.6400
2013 01 25 07 00 326.6829 2.0049
2013 01 25 08 00 324.6734 2.1120
2013 01 25 09 00 331.1399 2.5277
2013 01 25 10 00 342.8997 2.4297
2013 01 25 11 00 350.3058 2.8346
2013 01 25 12 00 340.5306 2.7860
2013 01 25 13 00 337.4619 2.5382
2013 01 25 14 00 347.6111 2.6024
2013 01 25 15 00 1.7592 1.7987
2013 01 25 16 00 354.6077 2.0541
2013 01 25 17 00 12.4348 2.1449
2013 01 25 18 00 33.5343 1.4925
