Lausanne-César-Roux
Messstation Nr.:   9
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  °         18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 19 01 00 98.1366 0.6379
2013 01 19 02 00 128.3393 0.2733
2013 01 19 03 00 130.3317 0.3042
2013 01 19 04 00 147.9784 0.3203
2013 01 19 05 00 280.1299 0.9382
2013 01 19 06 00 286.0742 0.8288
2013 01 19 07 00 288.5591 0.5604
2013 01 19 08 00 298.4908 0.7974
2013 01 19 09 00 281.9725 0.8165
2013 01 19 10 00 125.9053 0.8015
2013 01 19 11 00 123.7246 0.7532
2013 01 19 12 00 124.8833 0.6951
2013 01 19 13 00 120.5843 0.5965
2013 01 19 14 00 117.7614 0.4578
2013 01 19 15 00 149.5717 0.4803
2013 01 19 16 00 138.3164 0.4650
2013 01 19 17 00 117.9579 0.7699
2013 01 19 18 00 291.4893 0.3894
2013 01 19 19 00 118.4587 0.2242
2013 01 19 20 00 158.5234 0.3069
2013 01 19 21 00 105.6488 0.6433
2013 01 19 22 00 116.6201 0.3963
2013 01 19 23 00 90.4096 0.5256
2013 01 19 24 00 340.2530 0.2497
2013 01 20 01 00 115.9739 0.3478
2013 01 20 02 00 101.3500 0.3819
2013 01 20 03 00 101.9673 0.5925
2013 01 20 04 00 88.0580 0.6665
2013 01 20 05 00 112.3941 0.6538
2013 01 20 06 00 95.6962 0.5350
2013 01 20 07 00 96.0017 0.4529
2013 01 20 08 00 96.8914 0.6135
2013 01 20 09 00 113.4803 1.1888
2013 01 20 10 00 110.8818 1.3424
2013 01 20 11 00 139.9184 0.5707
2013 01 20 12 00 126.9861 1.0175
2013 01 20 13 00 125.0183 1.3319
2013 01 20 14 00 141.0164 0.8392
2013 01 20 15 00 239.8908 0.7615
